q,開始日時,返却日時,利用料金,開始ステーション名,返却ステーション名
340,2022-04-09 13:09:10,2022-04-09 13:17:42,77,東光台東交差点（BLANDE研究学園店）,研究学園駅
341,2022-04-09 13:09:59,2022-04-09 13:21:01,77,カスミ筑波大学店,つくば駅（中央公園）
342,2022-04-09 13:23:17,2022-04-09 13:31:00,77,つくば市役所,ZOZOBASEつくば１
343,2022-04-09 13:29:41,2022-04-09 13:41:37,77,カスミフードスクエア学園の森店,研究学園駅
344,2022-04-09 13:58:39,2022-04-09 15:36:45,539,研究学園駅,研究学園駅
345,2022-04-09 14:37:41,2022-04-09 16:01:24,462,つくば駅（中央公園）,つくば駅（中央公園）
346,2022-04-09 14:37:42,2022-04-09 16:01:24,462,つくば駅（中央公園）,つくば駅（中央公園）
347,2022-04-09 14:46:39,2022-04-09 17:22:26,847,東光台東交差点（BLANDE研究学園店）,つくば市役所
348,2022-04-09 14:49:07,2022-04-09 16:22:30,539,デイズタウン,デイズタウン
349,2022-04-09 14:49:12,2022-04-09 16:22:32,539,デイズタウン,デイズタウン
350,2022-04-09 14:49:16,2022-04-09 16:22:20,539,デイズタウン,デイズタウン
351,2022-04-09 15:28:49,2022-04-09 15:46:50,154,つくば駅（中央公園）,カスミ筑波大学店
352,2022-04-09 16:01:50,2022-04-09 16:10:35,77,つくば駅（中央公園）,LALAガーデンつくば
353,2022-04-09 16:02:11,2022-04-09 16:07:01,77,つくば駅（中央公園）,つくば駅（中央公園）
354,2022-04-09 16:08:14,2022-04-09 16:19:45,77,カスミ筑波大学店,つくば駅（中央公園）
355,2022-04-09 16:21:08,2022-04-09 16:30:27,77,つくば駅（中央公園）,LALAガーデンつくば
356,2022-04-09 16:22:55,2022-04-09 16:33:24,77,つくば駅（中央公園）,二の宮公園
357,2022-04-09 16:23:00,2022-04-09 16:33:20,77,つくば駅（中央公園）,二の宮公園
358,2022-04-09 16:36:20,2022-04-09 16:41:26,77,二の宮公園,デイズタウン
359,2022-04-09 16:49:26,2022-04-09 17:10:47,154,つくば駅（中央公園）,二の宮公園
360,2022-04-09 16:49:51,2022-04-09 17:10:46,154,つくば駅（中央公園）,二の宮公園
361,2022-04-09 16:54:34,2022-04-09 17:04:57,77,LALAガーデンつくば,つくば駅（中央公園）
362,2022-04-09 16:55:30,2022-04-09 17:52:51,308,デイズタウン,研究学園駅
363,2022-04-09 17:19:37,2022-04-09 17:30:51,77,MeeToco 筑波ハム,東光台東交差点（BLANDE研究学園店）
364,2022-04-09 17:44:34,2022-04-09 17:58:41,77,LALAガーデンつくば,二の宮公園
365,2022-04-09 17:58:21,2022-04-09 18:08:19,77,学園南公園,東光台東交差点（BLANDE研究学園店）
366,2022-04-09 17:59:43,2022-04-09 18:08:24,77,学園南公園,東光台東交差点（BLANDE研究学園店）
367,2022-04-09 18:03:52,2022-04-09 18:21:46,154,カスミ筑波大学店,研究学園駅
368,2022-04-09 19:08:53,2022-04-09 19:38:40,154,研究学園駅,ファミリーマートつくば葛城店
369,2022-04-09 19:49:18,2022-04-09 19:57:45,77,LALAガーデンつくば,つくば駅（中央公園）
370,2022-04-09 20:22:13,2022-04-09 20:31:10,77,研究学園駅,カスミフードスクエア学園の森店
371,2022-04-09 20:39:19,2022-04-09 20:58:50,154,研究学園駅,LALAガーデンつくば
372,2022-04-09 20:40:06,2022-04-09 20:57:58,154,ファミリーマートつくば葛城店,カスミ筑波大学店
373,2022-04-09 20:44:06,2022-04-09 20:58:57,77,研究学園駅,LALAガーデンつくば
374,2022-04-09 20:46:12,2022-04-09 20:58:07,77,つくばスタートアップパーク（つくば市産業振興センター）,カスミ筑波大学店
375,2022-04-09 20:56:46,2022-04-09 21:09:45,77,カスミフードスクエア学園店,デイズタウン
376,2022-04-09 21:36:53,2022-04-09 21:46:54,77,東光台東交差点（BLANDE研究学園店）,研究学園駅
377,2022-04-09 21:50:07,2022-04-09 22:08:03,154,つくば駅（中央公園）,ZOZOBASEつくば２
378,2022-04-09 22:09:05,2022-04-09 22:17:38,77,LALAガーデンつくば,つくば駅（中央公園）
379,2022-04-09 22:09:11,2022-04-09 22:17:52,77,LALAガーデンつくば,つくば駅（中央公園）
380,2022-04-09 22:34:11,2022-04-09 22:47:06,77,デイズタウン,カスミ筑波大学店
381,2022-04-09 22:41:36,2022-04-09 22:51:21,77,つくば駅（中央公園）,LALAガーデンつくば
382,2022-04-09 22:45:37,2022-04-09 23:16:38,231,研究学園駅,カスミ筑波大学店
383,2022-04-09 22:46:15,2022-04-09 22:56:22,77,カスミ筑波大学店,つくば駅（中央公園）
384,2022-04-09 22:47:04,2022-04-09 23:11:00,154,カスミ筑波大学店,研究学園駅
385,2022-04-09 22:48:43,2022-04-09 22:55:42,77,つくば駅（中央公園）,ファミリーマートつくば葛城店
386,2022-04-09 22:49:52,2022-04-09 22:59:22,77,つくば駅（中央公園）,ファミリーマートつくば葛城店
387,2022-04-09 23:18:52,2022-04-09 23:30:16,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
388,2022-04-10 00:01:55,2022-04-10 00:23:40,154,つくば市役所,デイズタウン
389,2022-04-10 00:47:53,2022-04-10 01:00:11,77,つくば駅（中央公園）,ZOZOBASEつくば２
390,2022-04-10 09:27:12,2022-04-10 09:48:49,154,カスミ筑波大学店,カスミフードスクエア学園店
391,2022-04-10 09:55:15,2022-04-10 13:41:07,1232,二の宮公園,二の宮公園
392,2022-04-10 09:58:24,2022-04-10 10:10:59,77,東光台東交差点（BLANDE研究学園店）,東光台東交差点（BLANDE研究学園店）
393,2022-04-10 10:11:03,2022-04-10 13:41:29,1155,二の宮公園,二の宮公園
394,2022-04-10 10:14:31,2022-04-10 10:40:51,154,カスミ筑波大学店,イーアスつくば
395,2022-04-10 10:14:40,2022-04-10 10:40:56,154,カスミ筑波大学店,イーアスつくば
396,2022-04-10 10:18:25,2022-04-10 11:30:52,385,二の宮公園,二の宮公園
397,2022-04-10 10:18:28,2022-04-10 16:29:29,1500,つくば駅（中央公園）,研究学園駅
398,2022-04-10 10:18:54,2022-04-10 11:42:31,462,二の宮公園,二の宮公園
399,2022-04-10 10:27:41,2022-04-10 10:38:59,77,MeeToco 筑波ハム,ファミリーマートつくば葛城店
400,2022-04-10 10:36:07,2022-04-10 11:03:13,154,カスミ筑波大学店,カスミ筑波大学店
401,2022-04-10 10:44:47,2022-04-10 19:21:26,1731,つくば市役所,つくば駅（中央公園）
402,2022-04-10 11:32:57,2022-04-10 12:54:42,462,つくば市役所,つくば市役所
403,2022-04-10 11:38:08,2022-04-10 11:46:20,77,カスミ筑波大学店,カスミ筑波大学店
404,2022-04-10 11:39:33,2022-04-10 11:49:24,77,つくば駅（中央公園）,LALAガーデンつくば
405,2022-04-10 12:07:59,2022-04-10 12:13:25,77,ZOZOBASEつくば１,学園南公園
406,2022-04-10 12:15:54,2022-04-10 12:42:09,154,イーアスつくば,カスミ筑波大学店
407,2022-04-10 12:16:00,2022-04-10 12:42:13,154,イーアスつくば,カスミ筑波大学店
408,2022-04-10 12:35:56,2022-04-10 12:57:33,154,松代ショッピングセンター,イーアスつくば
409,2022-04-10 12:38:16,2022-04-10 12:58:23,154,つくば駅（中央公園）,イーアスつくば
410,2022-04-10 13:03:39,2022-04-10 15:06:18,693,つくば市役所,研究学園駅
411,2022-04-10 13:06:24,2022-04-10 13:19:59,77,つくば駅（中央公園）,カスミ筑波大学店
412,2022-04-10 13:14:16,2022-04-10 13:26:21,77,イーアスつくば,ZOZOBASEつくば１
413,2022-04-10 13:21:07,2022-04-10 13:32:00,77,つくば駅（中央公園）,LALAガーデンつくば
414,2022-04-10 13:24:09,2022-04-10 13:59:54,231,カスミ筑波大学店,カスミ筑波大学店
415,2022-04-10 13:25:04,2022-04-10 15:00:17,231,カスミ筑波大学店,カスミ筑波大学店
416,2022-04-10 13:26:18,2022-04-10 14:00:01,231,カスミ筑波大学店,カスミ筑波大学店
417,2022-04-10 13:28:53,2022-04-10 13:44:44,154,イーアスつくば,カスミ筑波大学店
418,2022-04-10 13:57:26,2022-04-10 16:36:45,847,カスミフードスクエア学園店,カスミフードスクエア学園店
419,2022-04-10 14:22:16,2022-04-10 14:31:34,77,東光台東交差点（BLANDE研究学園店）,東光台東交差点（BLANDE研究学園店）
420,2022-04-10 14:35:30,2022-04-10 14:49:10,77,つくば駅（中央公園）,LALAガーデンつくば
421,2022-04-10 14:58:13,2022-04-10 15:20:22,154,カスミ筑波大学店,つくば駅（中央公園）
422,2022-04-10 14:58:21,2022-04-10 15:20:30,154,カスミ筑波大学店,つくば駅（中央公園）
423,2022-04-10 15:04:21,2022-04-10 17:49:28,924,LALAガーデンつくば,研究学園駅
424,2022-04-10 15:07:34,2022-04-10 15:23:35,154,二の宮公園,つくば駅（中央公園）
425,2022-04-10 15:07:37,2022-04-10 15:24:25,154,二の宮公園,つくば駅（中央公園）
426,2022-04-10 15:17:46,2022-04-10 15:40:51,154,研究学園駅,東光台東交差点（BLANDE研究学園店）
427,2022-04-10 15:28:59,2022-04-10 15:41:01,77,東光台東交差点（BLANDE研究学園店）,カスミフードスクエア学園の森店
428,2022-04-10 15:54:02,2022-04-10 16:03:07,77,LALAガーデンつくば,つくば駅（中央公園）
429,2022-04-10 16:02:06,2022-04-10 16:15:51,77,つくば駅（中央公園）,二の宮公園
430,2022-04-10 16:02:15,2022-04-10 16:16:18,77,つくば駅（中央公園）,二の宮公園
431,2022-04-10 16:11:17,2022-04-10 16:34:04,154,つくば駅（中央公園）,イーアスつくば
432,2022-04-10 16:32:26,2022-04-10 16:48:04,154,デイズタウン,デイズタウン
433,2022-04-10 17:41:54,2022-04-10 18:00:31,154,つくば駅（中央公園）,カスミ筑波大学店
434,2022-04-10 17:45:00,2022-04-10 19:41:19,616,研究学園駅,つくば駅（中央公園）
435,2022-04-10 18:10:46,2022-04-10 18:20:41,77,つくば駅（中央公園）,カスミフードスクエア学園店
436,2022-04-10 18:36:19,2022-04-10 22:54:04,77,研究学園駅,つくば市役所
437,2022-04-10 20:07:24,2022-04-10 20:17:06,77,ファミリーマートつくば葛城店,研究学園駅
438,2022-04-10 20:58:30,2022-04-10 21:35:55,231,イーアスつくば,つくば駅（中央公園）
439,2022-04-10 21:06:04,2022-04-10 21:13:30,77,研究学園駅,ファミリーマートつくば葛城店
440,2022-04-10 22:11:24,2022-04-10 22:25:47,77,つくば駅（中央公園）,デイズタウン
441,2022-04-10 23:58:28,2022-04-11 00:11:30,77,つくば駅（中央公園）,松代ショッピングセンター
442,2022-04-11 06:53:02,2022-04-11 07:02:45,77,二の宮公園,つくば駅（中央公園）
443,2022-04-11 07:57:53,2022-04-11 09:12:02,385,つくば駅（中央公園）,つくば駅（中央公園）
444,2022-04-11 08:11:08,2022-04-11 08:27:06,154,ファミリーマートつくば葛城店,二の宮公園
445,2022-04-11 08:58:26,2022-04-11 09:05:29,77,つくば駅（中央公園）,LALAガーデンつくば
446,2022-04-11 09:40:39,2022-04-11 13:14:20,1155,つくば市役所,研究学園駅
447,2022-04-11 09:49:06,2022-04-11 17:38:27,1500,カスミ筑波大学店,カスミ筑波大学店
448,2022-04-11 10:27:43,2022-04-11 11:02:00,231,カスミ筑波大学店,カスミ筑波大学店
449,2022-04-11 10:45:52,2022-04-11 10:56:59,77,東光台東交差点（BLANDE研究学園店）,研究学園駅
450,2022-04-11 10:46:49,2022-04-11 11:04:09,154,つくば駅（中央公園）,つくば駅（中央公園）
451,2022-04-11 11:06:07,2022-04-11 11:52:56,308,カスミフードスクエア学園店,カスミフードスクエア学園店
452,2022-04-11 11:08:05,2022-04-11 11:32:35,154,カスミフードスクエア学園の森店,つくば駅（中央公園）
453,2022-04-11 11:10:26,2022-04-11 11:22:23,77,つくば駅（中央公園）,カスミ筑波大学店
454,2022-04-11 11:20:25,2022-04-11 13:21:50,693,カスミ筑波大学店,つくば駅（中央公園）
455,2022-04-11 11:24:35,2022-04-11 13:07:53,539,研究学園駅,研究学園駅
456,2022-04-11 11:42:50,2022-04-11 11:55:24,77,ZOZOBASEつくば１,研究学園駅
457,2022-04-11 12:29:13,2022-04-11 12:44:34,154,カスミ筑波大学店,カスミ筑波大学店
458,2022-04-11 12:33:50,2022-04-11 19:03:24,1500,ファミリーマートつくば葛城店,ファミリーマートつくば葛城店
459,2022-04-11 12:46:17,2022-04-11 15:15:51,770,カスミ筑波大学店,カスミ筑波大学店
460,2022-04-11 13:29:17,2022-04-11 13:39:47,77,LALAガーデンつくば,つくば駅（中央公園）
461,2022-04-11 13:32:23,2022-04-11 14:38:38,385,松代ショッピングセンター,松代ショッピングセンター
462,2022-04-11 14:15:06,2022-04-11 14:20:08,77,つくば駅（中央公園）,つくば駅（中央公園）
463,2022-04-11 14:34:55,2022-04-11 14:47:59,77,東光台東交差点（BLANDE研究学園店）,研究学園駅
464,2022-04-11 14:37:03,2022-04-11 17:44:03,154,東光台東交差点（BLANDE研究学園店）,二の宮公園
465,2022-04-11 14:37:51,2022-04-11 14:48:03,77,東光台東交差点（BLANDE研究学園店）,研究学園駅
466,2022-04-11 14:48:00,2022-04-11 14:57:56,77,つくば駅（中央公園）,カスミ筑波大学店
467,2022-04-11 15:17:02,2022-04-11 15:34:04,154,ファミリーマートつくば葛城店,イーアスつくば
468,2022-04-11 15:24:59,2022-04-11 15:39:25,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
469,2022-04-11 15:51:09,2022-04-11 16:19:05,154,イーアスつくば,カスミフードスクエア学園店
470,2022-04-11 16:23:25,2022-04-11 16:34:37,77,カスミ筑波大学店,つくば駅（中央公園）
471,2022-04-11 16:36:41,2022-04-11 16:49:40,77,カスミフードスクエア学園の森店,イーアスつくば
472,2022-04-11 16:44:50,2022-04-11 17:02:46,154,カスミ筑波大学店,カスミフードスクエア学園の森店
473,2022-04-11 17:15:17,2022-04-11 17:19:49,77,イーアスつくば,研究学園駅
474,2022-04-11 17:38:05,2022-04-11 18:01:45,154,カスミフードスクエア学園の森店,カスミ筑波大学店
475,2022-04-11 17:53:51,2022-04-11 18:04:49,77,研究学園駅,ZOZOBASEつくば１
476,2022-04-11 18:09:49,2022-04-11 18:24:27,77,カスミフードスクエア学園店,つくばスタートアップパーク（つくば市産業振興センター）
477,2022-04-11 18:11:54,2022-04-11 18:25:01,77,カスミフードスクエア学園店,つくばスタートアップパーク（つくば市産業振興センター）
478,2022-04-11 18:17:03,2022-04-11 18:39:43,154,ZOZOBASEつくば１,つくば駅（中央公園）
479,2022-04-11 18:56:43,2022-04-11 19:06:58,77,LALAガーデンつくば,つくば駅（中央公園）
480,2022-04-11 18:57:23,2022-04-11 19:19:50,154,研究学園駅,つくば駅（中央公園）
481,2022-04-11 19:49:50,2022-04-11 19:59:47,77,カスミ筑波大学店,つくば駅（中央公園）
482,2022-04-11 20:31:23,2022-04-11 20:43:44,77,デイズタウン,ファミリーマートつくば葛城店
483,2022-04-11 20:35:02,2022-04-11 20:42:36,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
484,2022-04-11 20:54:35,2022-04-11 21:11:29,154,研究学園駅,カスミ筑波大学店
485,2022-04-11 21:19:15,2022-04-11 21:26:37,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
486,2022-04-11 21:47:06,2022-04-11 21:57:07,77,二の宮公園,つくば駅（中央公園）
487,2022-04-11 21:53:43,2022-04-11 22:04:07,77,LALAガーデンつくば,つくば駅（中央公園）
488,2022-04-11 22:32:56,2022-04-11 22:48:03,154,カスミフードスクエア学園店,ファミリーマートつくば葛城店
489,2022-04-11 23:17:37,2022-04-11 23:25:46,77,二の宮公園,つくば駅（中央公園）
490,2022-04-11 23:46:41,2022-04-11 23:54:54,77,つくば駅（中央公園）,二の宮公園
491,2022-04-12 00:23:12,2022-04-12 08:08:57,1500,つくば駅（中央公園）,つくば駅（中央公園）
492,2022-04-12 07:05:50,2022-04-12 07:12:50,77,LALAガーデンつくば,つくば駅（中央公園）
493,2022-04-12 07:35:08,2022-04-12 07:43:19,77,ファミリーマートつくば葛城店,つくば駅（中央公園）
494,2022-04-12 08:15:40,2022-04-12 08:23:58,77,カスミ筑波大学店,つくば駅（中央公園）
495,2022-04-12 08:32:13,2022-04-12 08:39:32,77,東光台東交差点（BLANDE研究学園店）,研究学園駅
496,2022-04-12 08:56:23,2022-04-12 09:06:03,77,つくば駅（中央公園）,LALAガーデンつくば
497,2022-04-12 09:08:17,2022-04-12 09:21:55,77,カスミ筑波大学店,つくば駅（中央公園）
498,2022-04-12 09:20:22,2022-04-12 09:30:48,77,研究学園駅,ZOZOBASEつくば１
499,2022-04-12 10:59:34,2022-04-12 12:01:18,385,東光台東交差点（BLANDE研究学園店）,東光台東交差点（BLANDE研究学園店）
500,2022-04-12 11:03:55,2022-04-12 11:20:30,154,カスミ筑波大学店,カスミフードスクエア学園の森店
501,2022-04-12 11:13:20,2022-04-12 11:26:35,77,ZOZOBASEつくば１,研究学園駅
502,2022-04-12 11:18:07,2022-04-12 11:55:44,231,デイズタウン,カスミフードスクエア学園店
503,2022-04-12 11:35:14,2022-04-12 11:41:55,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
504,2022-04-12 12:02:25,2022-04-12 12:15:07,77,カスミフードスクエア学園の森店,カスミ筑波大学店
505,2022-04-12 12:19:03,2022-04-12 16:22:17,1309,学園南公園,学園南公園
506,2022-04-12 12:27:59,2022-04-12 12:36:01,77,つくば駅（中央公園）,カスミ筑波大学店
507,2022-04-12 12:53:25,2022-04-12 13:11:50,154,つくば駅（中央公園）,カスミ筑波大学店
508,2022-04-12 13:19:15,2022-04-12 13:31:26,77,つくば駅（中央公園）,つくば駅（中央公園）
509,2022-04-12 14:07:50,2022-04-12 14:19:10,77,カスミ筑波大学店,つくば駅（中央公園）
510,2022-04-12 14:10:47,2022-04-12 14:41:02,231,二の宮公園,イーアスつくば
511,2022-04-12 15:59:02,2022-04-12 16:11:01,77,カスミ筑波大学店,イーアスつくば
512,2022-04-12 16:19:05,2022-04-12 16:39:12,154,カスミ筑波大学店,イーアスつくば
513,2022-04-12 16:19:25,2022-04-12 18:08:15,616,イーアスつくば,研究学園駅
514,2022-04-12 16:32:52,2022-04-12 16:41:22,77,カスミ筑波大学店,つくば駅（中央公園）
515,2022-04-12 18:27:27,2022-04-12 21:34:14,1001,つくば駅（中央公園）,つくば駅（中央公園）
516,2022-04-12 18:27:43,2022-04-12 21:33:56,1001,つくば駅（中央公園）,つくば駅（中央公園）
517,2022-04-12 18:50:15,2022-04-12 19:11:42,154,デイズタウン,カスミ筑波大学店
518,2022-04-12 19:11:56,2022-04-12 19:20:50,77,二の宮公園,つくば駅（中央公園）
519,2022-04-12 19:24:31,2022-04-12 19:32:16,77,つくば駅（中央公園）,LALAガーデンつくば
520,2022-04-12 19:30:42,2022-04-12 19:54:51,154,イーアスつくば,カスミ筑波大学店
521,2022-04-12 19:36:07,2022-04-12 20:33:23,308,研究学園駅,イーアスつくば
522,2022-04-12 19:54:36,2022-04-12 20:04:24,77,ファミリーマートつくば葛城店,イーアスつくば
523,2022-04-12 20:03:09,2022-04-12 20:11:23,77,ファミリーマートつくば葛城店,研究学園駅
524,2022-04-12 21:00:57,2022-04-12 21:14:46,77,つくば駅（中央公園）,カスミ筑波大学店
525,2022-04-12 21:17:44,2022-04-12 22:20:00,385,二の宮公園,つくば駅（中央公園）
526,2022-04-12 21:17:47,2022-04-12 22:19:53,385,二の宮公園,つくば駅（中央公園）
527,2022-04-12 21:40:51,2022-04-12 21:49:58,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
528,2022-04-12 21:52:26,2022-04-12 22:02:01,77,東光台東交差点（BLANDE研究学園店）,研究学園駅
529,2022-04-12 22:17:08,2022-04-12 22:24:19,77,LALAガーデンつくば,つくば駅（中央公園）
530,2022-04-12 22:17:35,2022-04-12 22:24:34,77,LALAガーデンつくば,つくば駅（中央公園）
531,2022-04-12 23:15:13,2022-04-12 23:27:36,77,研究学園駅,カスミフードスクエア学園の森店
532,2022-04-13 00:28:53,2022-04-13 00:38:16,77,つくば駅（中央公園）,カスミ筑波大学店
533,2022-04-13 00:29:07,2022-04-13 00:41:51,77,イーアスつくば,カスミフードスクエア学園の森店
534,2022-04-13 06:02:31,2022-04-13 06:10:27,77,カスミ筑波大学店,つくば駅（中央公園）
535,2022-04-13 06:44:41,2022-04-13 06:52:16,77,東光台東交差点（BLANDE研究学園店）,研究学園駅
536,2022-04-13 07:53:23,2022-04-13 08:00:47,77,つくば駅（中央公園）,二の宮公園
537,2022-04-13 08:32:43,2022-04-13 08:46:06,77,東光台東交差点（BLANDE研究学園店）,研究学園駅
538,2022-04-13 08:51:14,2022-04-13 10:02:44,385,研究学園駅,研究学園駅
539,2022-04-13 08:55:20,2022-04-13 09:06:14,77,カスミフードスクエア学園の森店,研究学園駅
540,2022-04-13 08:55:57,2022-04-13 09:06:02,77,つくば駅（中央公園）,LALAガーデンつくば
541,2022-04-13 08:58:33,2022-04-13 09:08:39,77,つくば駅（中央公園）,カスミ筑波大学店
542,2022-04-13 10:37:18,2022-04-13 12:25:09,616,研究学園駅,イーアスつくば
543,2022-04-13 10:47:06,2022-04-13 11:07:46,154,デイズタウン,デイズタウン
544,2022-04-13 10:48:36,2022-04-13 10:53:53,77,イーアスつくば,研究学園駅
545,2022-04-13 11:11:06,2022-04-13 14:45:47,1155,つくば駅（中央公園）,つくば駅（中央公園）
546,2022-04-13 12:23:54,2022-04-13 12:33:20,77,研究学園駅,つくば市役所
547,2022-04-13 12:34:58,2022-04-13 12:47:18,77,イーアスつくば,カスミフードスクエア学園の森店
548,2022-04-13 13:14:33,2022-04-13 13:25:52,77,研究学園駅,ZOZOBASEつくば１
549,2022-04-13 13:21:26,2022-04-13 13:31:10,77,研究学園駅,MeeToco 筑波ハム
550,2022-04-13 14:07:15,2022-04-13 15:00:48,308,つくば駅（中央公園）,つくば駅（中央公園）
551,2022-04-13 16:07:46,2022-04-13 16:55:35,308,東光台東交差点（BLANDE研究学園店）,研究学園駅
552,2022-04-13 16:07:49,2022-04-13 16:55:36,308,東光台東交差点（BLANDE研究学園店）,研究学園駅
553,2022-04-13 17:38:01,2022-04-13 17:55:48,154,イーアスつくば,つくば駅（中央公園）
554,2022-04-13 18:03:46,2022-04-13 18:24:44,154,研究学園駅,東光台東交差点（BLANDE研究学園店）
555,2022-04-13 18:04:20,2022-04-13 18:15:35,77,カスミ筑波大学店,つくば駅（中央公園）
556,2022-04-13 18:29:26,2022-04-13 18:43:29,77,研究学園駅,イーアスつくば
557,2022-04-13 18:35:55,2022-04-13 18:45:41,77,二の宮公園,つくば駅（中央公園）
558,2022-04-13 18:53:58,2022-04-13 19:08:40,77,二の宮公園,つくばスタートアップパーク（つくば市産業振興センター）
559,2022-04-13 19:23:05,2022-04-13 19:34:22,77,LALAガーデンつくば,つくばスタートアップパーク（つくば市産業振興センター）
560,2022-04-13 19:33:57,2022-04-13 19:47:16,77,つくば駅（中央公園）,ファミリーマートつくば葛城店
561,2022-04-13 19:41:38,2022-04-13 19:49:48,77,つくば駅（中央公園）,ファミリーマートつくば葛城店
562,2022-04-13 20:08:35,2022-04-13 20:24:08,154,つくば市役所,MeeToco 筑波ハム
563,2022-04-13 20:21:38,2022-04-13 20:33:50,77,つくば駅（中央公園）,MeeToco 筑波ハム
564,2022-04-13 22:36:52,2022-04-13 23:06:46,154,カスミフードスクエア学園の森店,カスミフードスクエア学園の森店
565,2022-04-13 22:37:14,2022-04-13 23:06:52,154,カスミフードスクエア学園の森店,カスミフードスクエア学園の森店
566,2022-04-13 22:41:30,2022-04-13 22:52:34,77,つくば駅（中央公園）,LALAガーデンつくば
567,2022-04-13 23:28:07,2022-04-14 07:58:22,1731,つくば駅（中央公園）,つくば駅（中央公園）
568,2022-04-13 23:46:12,2022-04-13 23:53:41,77,イーアスつくば,ファミリーマートつくば葛城店
569,2022-04-14 00:25:51,2022-04-14 00:54:26,154,つくば駅（中央公園）,イーアスつくば
570,2022-04-14 02:08:25,2022-04-14 02:23:52,154,イーアスつくば,つくば駅（中央公園）
571,2022-04-14 05:44:53,2022-04-14 05:52:55,77,LALAガーデンつくば,つくば駅（中央公園）
572,2022-04-14 06:20:32,2022-04-14 06:23:39,77,つくば駅（中央公園）,つくば駅（中央公園）
573,2022-04-14 07:00:04,2022-04-14 07:09:54,77,カスミ筑波大学店,つくば駅（中央公園）
574,2022-04-14 08:03:18,2022-04-14 08:12:13,77,つくば駅（中央公園）,二の宮公園
575,2022-04-14 08:03:19,2022-04-14 08:11:59,77,つくば駅（中央公園）,二の宮公園
576,2022-04-14 08:35:36,2022-04-14 08:44:27,77,つくば駅（中央公園）,二の宮公園
577,2022-04-14 08:44:46,2022-04-14 08:52:52,77,つくば駅（中央公園）,LALAガーデンつくば
578,2022-04-14 08:56:45,2022-04-14 09:07:52,77,つくば駅（中央公園）,カスミ筑波大学店
579,2022-04-14 09:01:03,2022-04-14 09:08:22,77,東光台東交差点（BLANDE研究学園店）,研究学園駅
580,2022-04-14 09:41:29,2022-04-14 09:49:03,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
581,2022-04-14 11:20:16,2022-04-14 11:28:42,77,つくば駅（中央公園）,カスミ筑波大学店
582,2022-04-14 13:03:35,2022-04-14 13:15:30,77,ZOZOBASEつくば１,研究学園駅
583,2022-04-14 13:15:53,2022-04-14 13:26:14,77,研究学園駅,ZOZOBASEつくば１
584,2022-04-14 13:34:32,2022-04-14 13:58:36,154,東光台東交差点（BLANDE研究学園店）,研究学園駅
585,2022-04-14 13:58:57,2022-04-14 14:24:18,154,カスミ筑波大学店,つくば駅（中央公園）
586,2022-04-14 18:37:42,2022-04-14 18:44:56,77,研究学園駅,ファミリーマートつくば葛城店
587,2022-04-14 19:43:55,2022-04-14 20:00:46,154,つくば駅（中央公園）,松代ショッピングセンター
588,2022-04-14 19:43:56,2022-04-14 19:54:06,77,ZOZOBASEつくば１,研究学園駅
589,2022-04-14 20:20:04,2022-04-14 20:29:46,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
590,2022-04-14 20:43:52,2022-04-14 20:51:24,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
591,2022-04-14 21:00:30,2022-04-14 21:08:44,77,つくばスタートアップパーク（つくば市産業振興センター）,カスミ筑波大学店
592,2022-04-14 21:07:34,2022-04-15 11:18:40,77,カスミフードスクエア学園店,つくば駅（中央公園）
593,2022-04-14 22:28:40,2022-04-14 22:52:28,154,つくば駅（中央公園）,松代ショッピングセンター
594,2022-04-14 22:50:13,2022-04-14 23:02:20,77,つくば駅（中央公園）,カスミ筑波大学店
595,2022-04-14 22:50:18,2022-04-14 23:02:16,77,つくば駅（中央公園）,ZOZOBASEつくば２
596,2022-04-15 00:16:35,2022-04-15 00:25:12,77,つくば駅（中央公園）,カスミ筑波大学店
597,2022-04-15 00:54:44,2022-04-15 01:11:33,154,つくば駅（中央公園）,松代ショッピングセンター
598,2022-04-15 07:01:13,2022-04-15 07:10:55,77,カスミ筑波大学店,つくば駅（中央公園）
599,2022-04-15 07:07:59,2022-04-15 07:18:02,77,研究学園駅,ZOZOBASEつくば１
600,2022-04-15 07:52:06,2022-04-15 07:59:40,77,研究学園駅,ZOZOBASEつくば１
601,2022-04-15 11:36:04,2022-04-15 11:44:00,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
602,2022-04-15 15:12:20,2022-04-15 15:21:18,77,東光台東交差点（BLANDE研究学園店）,研究学園駅
603,2022-04-15 15:23:31,2022-04-15 15:36:23,77,カスミ筑波大学店,つくばスタートアップパーク（つくば市産業振興センター）
604,2022-04-15 16:15:24,2022-04-15 16:24:01,77,研究学園駅,東光台東交差点（BLANDE研究学園店）
