q,開始日時,返却日時,利用料金,開始ステーション名,返却ステーション名
180,2022-04-05 22:50:58,2022-04-05 23:00:22,77,ファミリーマート筑波記念病院前店,東光台東交差点（BLANDE研究学園店）
181,2022-04-06 00:28:14,2022-04-06 00:39:50,77,つくば駅（中央公園）,カスミ筑波大学店
182,2022-04-06 05:59:51,2022-04-06 06:08:00,77,カスミ筑波大学店,つくば駅（中央公園）
183,2022-04-06 07:08:31,2022-04-06 07:22:03,77,ZOZOBASEつくば２,つくば駅（中央公園）
184,2022-04-06 07:58:34,2022-04-06 08:08:46,77,つくば駅（中央公園）,二の宮公園
185,2022-04-06 08:16:46,2022-04-06 08:31:17,77,つくば駅（中央公園）,カスミ筑波大学店
186,2022-04-06 08:45:52,2022-04-06 08:55:02,77,つくば駅（中央公園）,二の宮公園
187,2022-04-06 08:50:35,2022-04-06 09:01:34,77,カスミフードスクエア学園の森店,研究学園駅
188,2022-04-06 09:27:23,2022-04-06 09:36:16,77,研究学園駅,ZOZOBASEつくば１
189,2022-04-06 10:38:19,2022-04-06 12:50:22,693,つくば市役所,つくば市役所
190,2022-04-06 10:51:11,2022-04-06 11:26:00,231,つくば市役所,つくば市役所
191,2022-04-06 11:17:32,2022-04-06 11:33:54,154,LALAガーデンつくば,イーアスつくば
192,2022-04-06 12:12:06,2022-04-06 12:21:39,77,つくば駅（中央公園）,カスミ筑波大学店
193,2022-04-06 12:13:12,2022-04-06 12:56:10,231,二の宮公園,二の宮公園
194,2022-04-06 12:21:44,2022-04-06 12:28:05,77,東光台東交差点（BLANDE研究学園店）,カスミフードスクエア学園の森店
195,2022-04-06 12:22:00,2022-04-06 12:26:44,77,二の宮公園,デイズタウン
196,2022-04-06 12:41:46,2022-04-06 17:10:51,1386,研究学園駅,研究学園駅
197,2022-04-06 12:55:05,2022-04-06 13:54:05,308,つくば駅（中央公園）,つくば駅（中央公園）
198,2022-04-06 12:55:28,2022-04-06 17:15:26,1386,つくば駅（中央公園）,イーアスつくば
199,2022-04-06 13:07:17,2022-04-06 13:14:33,77,東光台東交差点（BLANDE研究学園店）,研究学園駅
200,2022-04-06 13:29:57,2022-04-06 13:49:31,154,イーアスつくば,学園南公園
201,2022-04-06 14:26:01,2022-04-06 15:13:49,308,カスミ筑波大学店,カスミ筑波大学店
202,2022-04-06 14:26:06,2022-04-06 15:13:54,308,カスミ筑波大学店,カスミ筑波大学店
203,2022-04-06 14:35:59,2022-04-06 14:56:02,154,学園南公園,LALAガーデンつくば
204,2022-04-06 15:18:55,2022-04-06 15:27:44,77,つくば駅（中央公園）,ファミリーマートつくば葛城店
